epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
198,0.2091,0.8525,0.9235,0.9291,0.9294,0.9153,0.4665
199,0.2091,0.8527,0.9257,0.9269,0.9293,0.9176,0.466
200,0.2091,0.8543,0.9252,0.9287,0.9307,0.9187,0.4661
201,0.2091,0.8554,0.9247,0.9281,0.9303,0.9208,0.4679
202,0.2091,0.8565,0.926,0.9269,0.9299,0.9202,0.467
203,0.2091,0.8573,0.926,0.9278,0.9307,0.9202,0.4676
204,0.2091,0.8566,0.9261,0.9301,0.9299,0.9213,0.4737
205,0.2091,0.8591,0.9264,0.9294,0.93,0.9193,0.4912
206,0.2091,0.8596,0.9257,0.9279,0.9323,0.9231,0.5091
207,0.2091,0.8602,0.9265,0.9289,0.9317,0.9211,0.5129
208,0.2091,0.8602,0.9261,0.9288,0.9307,0.9224,0.5287
209,0.2091,0.8594,0.9273,0.9276,0.9315,0.9223,0.5339
210,0.2091,0.8586,0.928,0.9284,0.93,0.9218,0.5402
211,0.2091,0.8578,0.9266,0.9298,0.9335,0.9225,0.5382
212,0.2091,0.8592,0.9273,0.9303,0.9332,0.9214,0.5403
213,0.2091,0.858,0.9265,0.9291,0.9326,0.923,0.545
214,0.2091,0.8568,0.926,0.9291,0.9325,0.9212,0.543
215,0.2091,0.8584,0.9275,0.9289,0.9319,0.923,0.5447
216,0.2091,0.8603,0.9277,0.9311,0.935,0.9243,0.5451
217,0.2091,0.8594,0.9274,0.9285,0.9338,0.9241,0.5439
218,0.2091,0.8584,0.9255,0.9292,0.9322,0.9211,0.5475
219,0.2091,0.8591,0.9275,0.9314,0.9322,0.9173,0.5443
220,0.2091,0.858,0.9263,0.931,0.9325,0.9237,0.5486
221,0.2091,0.8602,0.9283,0.9289,0.9331,0.9205,0.5502
222,0.2091,0.8613,0.9262,0.9287,0.9309,0.922,0.5483
223,0.2091,0.8587,0.9252,0.9288,0.9312,0.9217,0.551
224,0.2091,0.8583,0.9253,0.9291,0.9322,0.9236,0.5472
225,0.2091,0.8602,0.9276,0.9306,0.932,0.9227,0.5495
226,0.2091,0.8595,0.9255,0.9304,0.9324,0.9221,0.5504
227,0.2091,0.8614,0.9261,0.9307,0.9306,0.9228,0.5483
228,0.2091,0.8643,0.9253,0.9302,0.9322,0.924,0.5493
229,0.2091,0.8647,0.9248,0.9293,0.9325,0.9215,0.5489
230,0.2091,0.8638,0.9254,0.9297,0.9314,0.9227,0.5495
231,0.2091,0.8611,0.9269,0.9309,0.9321,0.921,0.5485
232,0.2091,0.8627,0.9272,0.9302,0.9314,0.9238,0.5506
233,0.2091,0.8628,0.9259,0.9292,0.9302,0.9219,0.5512
234,0.2091,0.863,0.9263,0.9296,0.9314,0.9236,0.5512
235,0.2091,0.8635,0.9271,0.9285,0.9298,0.9254,0.5524
236,0.2091,0.8637,0.9286,0.9286,0.9302,0.926,0.551
237,0.2091,0.8639,0.9279,0.9274,0.9305,0.9254,0.5516
238,0.2091,0.8612,0.9271,0.9283,0.9316,0.9213,0.5509
239,0.2091,0.8622,0.9267,0.93,0.9314,0.9253,0.5515
240,0.2091,0.8619,0.9284,0.9299,0.9314,0.9255,0.5488
241,0.2091,0.8612,0.9276,0.9295,0.9309,0.9261,0.5517
242,0.2091,0.8602,0.9269,0.9289,0.9311,0.9255,0.5498
243,0.2091,0.8589,0.9275,0.9294,0.9318,0.9253,0.5486
244,0.2091,0.8606,0.928,0.9294,0.9317,0.9256,0.5506
245,0.2091,0.8589,0.9293,0.93,0.9325,0.9273,0.549
246,0.2091,0.8588,0.9287,0.9298,0.932,0.925,0.5494
247,0.2091,0.861,0.928,0.9275,0.9327,0.9242,0.5514
248,0.2091,0.8616,0.9272,0.928,0.9325,0.9232,0.5503
249,0.2091,0.8612,0.9288,0.9282,0.9332,0.9262,0.5519
250,0.2091,0.8631,0.9286,0.9289,0.9334,0.9253,0.5513
251,0.2091,0.8631,0.9299,0.9304,0.9344,0.9253,0.5488
252,0.2091,0.8626,0.9301,0.9298,0.9324,0.9238,0.5463
253,0.2091,0.8627,0.9288,0.9286,0.9336,0.9248,0.5502
254,0.2091,0.8611,0.9303,0.9291,0.9328,0.9276,0.5493
255,0.2091,0.8605,0.9285,0.9307,0.9325,0.9248,0.5527
256,0.2091,0.8611,0.9277,0.9299,0.9323,0.9254,0.5499
257,0.2091,0.8613,0.9281,0.9292,0.9326,0.9237,0.5492
258,0.2091,0.8627,0.9281,0.9284,0.9328,0.925,0.5504
259,0.2091,0.8627,0.9295,0.928,0.9311,0.9242,0.5498
260,0.2091,0.8641,0.929,0.9292,0.9315,0.9259,0.5521
261,0.2091,0.8625,0.9277,0.9275,0.9327,0.9264,0.5529
262,0.2091,0.8634,0.9277,0.9294,0.9331,0.9268,0.55
263,0.2091,0.861,0.9299,0.9298,0.9333,0.9264,0.552
264,0.2091,0.8602,0.9277,0.9298,0.9319,0.9244,0.552
265,0.2091,0.8601,0.9274,0.9293,0.9317,0.9254,0.552
266,0.2091,0.8607,0.9287,0.9294,0.9336,0.9234,0.5529
267,0.2091,0.8616,0.9285,0.9299,0.9339,0.9258,0.5554
268,0.2091,0.8613,0.9287,0.9316,0.934,0.9276,0.5526
269,0.2091,0.861,0.9297,0.9299,0.9337,0.9274,0.5517
270,0.2091,0.8614,0.9298,0.9306,0.9341,0.9296,0.553
271,0.2091,0.861,0.9284,0.9309,0.9336,0.9263,0.5528
272,0.2091,0.8612,0.9289,0.93,0.932,0.9267,0.5502
273,0.2091,0.8598,0.929,0.9287,0.9335,0.9271,0.5528
274,0.2091,0.8612,0.9292,0.9292,0.9327,0.9263,0.5523
275,0.2091,0.8626,0.9277,0.929,0.9312,0.9277,0.5527
276,0.2091,0.862,0.9281,0.9297,0.9325,0.9255,0.5516
277,0.2091,0.861,0.9285,0.9304,0.9334,0.9264,0.5516
278,0.2091,0.8616,0.9298,0.9305,0.9321,0.929,0.5513
